最小支持度 minsup = 0.1
最小置信度 minconf = 0.1
产生关联规则如下: 
  h	-->e	0.6097560975609756	
  g	-->be	0.20441988950276244	
  d	-->g	0.639344262295082	
  bg	-->e	0.6491228070175439	
  dh	-->a	0.734375	
  b	-->h	0.5808823529411765	
  h	-->b	0.4817073170731707	
  h	-->a	0.4695121951219512	
  ad	-->g	0.6524822695035462	
  e	-->h	0.6097560975609756	
  g	-->a	0.6243093922651933	
  a	-->h	0.4010416666666667	
  be	-->h	0.6407766990291263	
  dg	-->a	0.7863247863247863	
  b	-->e	0.7573529411764706	
  eh	-->b	0.66	
  e	-->b	0.6280487804878049	
  h	-->ad	0.2865853658536585	
  a	-->d	0.734375	
  h	-->d	0.3902439024390244	
  a	-->dg	0.4791666666666667	
  g	-->d	0.6464088397790055	
  e	-->g	0.3902439024390244	
  a	-->dh	0.24479166666666666	
  ag	-->d	0.8141592920353983	
  d	-->h	0.34972677595628415	
  eg	-->b	0.578125	
  g	-->e	0.35359116022099446	
  a	-->g	0.5885416666666666	
  d	-->a	0.7704918032786885	
  d	-->ah	0.2568306010928962	
  be	-->g	0.3592233009708738	
  a	-->e	0.265625	
  b	-->eg	0.27205882352941174	
  b	-->eh	0.4852941176470588	
  b	-->g	0.41911764705882354	
  g	-->b	0.3149171270718232	
  e	-->bh	0.4024390243902439	
  ad	-->h	0.3333333333333333	
  e	-->a	0.31097560975609756	
  h	-->be	0.4024390243902439	
  bh	-->e	0.8354430379746836	
  d	-->ag	0.5027322404371585	
  g	-->ad	0.5082872928176796	
  e	-->bg	0.22560975609756098	
  ah	-->d	0.6103896103896104	
